0.10000	91.981328	0.969371	0.803659	1.030701	1.740950	0.014792
0.20000	81.076280	0.936714	0.808609	1.019396	1.737570	0.014718
0.30000	76.801132	0.902518	0.810744	1.013608	1.735288	0.014683
0.40000	74.423370	0.983575	0.812636	1.008299	1.733102	0.014652
0.50000	70.933070	0.923744	0.814490	1.003071	1.730936	0.014621
0.60000	68.703106	0.949115	0.816345	0.997851	1.728776	0.014590
0.70000	68.812332	1.077618	0.818213	0.992617	1.726619	0.014560
0.80000	61.911078	0.904260	0.820098	0.987360	1.724463	0.014530
0.90000	64.024494	1.000596	0.822003	0.982078	1.722308	0.014499
1.00000	59.608852	0.887194	0.823929	0.976767	1.720155	0.014469
1.10000	62.235662	0.957243	0.825878	0.971426	1.718001	0.014438
1.20000	54.397420	0.939660	0.827850	0.966053	1.715848	0.014408
1.30000	54.705116	0.940545	0.829846	0.960646	1.713696	0.014378
1.40000	52.353780	0.882673	0.831869	0.955204	1.711544	0.014347
1.50000	52.741098	0.948932	0.833919	0.949725	1.709393	0.014317
1.60000	47.616416	0.849742	0.835997	0.944209	1.707242	0.014287
1.70000	47.395180	0.973181	0.838104	0.938653	1.705092	0.014256
1.80000	49.559988	0.978042	0.840310	0.932935	1.702865	0.014217
1.90000	44.428260	0.957790	0.842501	0.927259	1.700707	0.014185
2.00000	44.076954	0.972964	0.844731	0.921531	1.698548	0.014154
2.10000	44.031866	1.010139	0.847002	0.915746	1.696389	0.014122
2.20000	40.883832	0.906562	0.849316	0.909902	1.694231	0.014091
2.30000	41.321816	0.925179	0.851677	0.903994	1.692072	0.014059
2.40000	37.282066	0.836727	0.854087	0.898018	1.689913	0.014027
2.50000	37.987206	0.852741	0.856551	0.891969	1.687754	0.013995
2.60000	36.701626	0.948075	0.859071	0.885841	1.685595	0.013964
2.70000	35.146768	0.919322	0.861654	0.879629	1.683436	0.013932
2.80000	35.702672	1.022290	0.864302	0.873327	1.681277	0.013900
2.90000	34.736254	0.894585	0.867023	0.866925	1.679118	0.013868
3.00000	33.177020	0.994069	0.869822	0.860417	1.676959	0.013836
3.10000	31.766514	0.933150	0.872705	0.853792	1.674799	0.013803
3.20000	30.266714	0.865265	0.875683	0.847039	1.672640	0.013771
3.30000	30.406486	0.812466	0.878762	0.840145	1.670480	0.013739
3.40000	30.332710	0.986356	0.881956	0.833096	1.668321	0.013707
3.50000	28.930230	0.851561	0.885274	0.825874	1.666161	0.013674
3.60000	28.951666	0.819171	0.888734	0.818459	1.664002	0.013642
3.70000	27.048662	0.899308	0.892352	0.810827	1.661842	0.013609
3.80000	27.615570	0.848650	0.896148	0.802949	1.659682	0.013577
3.90000	26.446588	0.943377	0.900149	0.794792	1.657522	0.013544
4.00000	25.103338	0.874051	0.904633	0.785963	1.655362	0.013511
4.10000	24.231846	0.886556	0.909274	0.776923	1.653202	0.013478
4.20000	26.974954	0.899929	0.914312	0.767335	1.651042	0.013446
4.30000	24.695984	1.006351	0.919863	0.757043	1.648882	0.013413
4.40000	24.012592	1.000457	0.926103	0.745800	1.646722	0.013380
4.50000	23.009078	0.982993	0.933335	0.733191	1.644561	0.013347
4.60000	22.679006	0.884658	0.942140	0.718413	1.642401	0.013314
4.70000	20.613466	0.989855	0.955350	0.697556	1.640240	0.013280
