0.1	0.566817	1.83359
0.3	0.502092	1.64442
0.5	0.472476	1.53014
0.7	0.449858	1.44634
0.9	0.410407	1.33278
1.1	0.383281	1.23529
1.3	0.354	1.14579
1.5	0.392838	1.10062
1.7	0.4619	1.11041
1.9	0.528343	1.12131
2.1	0.589849	1.12641
2.3	0.649087	1.12854
2.5	0.719615	1.14256
2.7	0.786165	1.14583
2.9	0.843996	1.15835
3.1	0.894007	1.16821
3.3	0.956809	1.17527
3.5	1.01742	1.17816
3.7	1.05144	1.18143
3.9	1.10378	1.21373
4.1	1.15068	1.2065
4.3	1.19823	1.22479
4.5	1.22473	1.24926
4.7	1.25914	1.266
