a1
1.00000000	8.60844724	220.37860055	172.93531450	203.68356683
2.00000000	9.49141450	227.32136048	174.83095308	211.13674282
3.00000000	16.94877574	261.45091553	196.57811547	252.12294137
4.00000000	22.03042395	183.18619646	291.78407276	186.80785368
5.00000000	9.41765369	99.02179793	276.43278003	97.27482525
6.00000000	14.56059152	247.86625138	193.86049888	236.75916547
7.00000000	9.46064569	106.93639843	271.46574328	104.59443364
8.00000000	19.55869211	168.97420548	293.58628767	171.05213171
9.00000000	20.11831237	219.69773619	248.40410323	218.64762439
10.00000000	19.81452147	208.46578489	256.93691239	207.96087859
11.00000000	15.81973282	149.21202607	289.73810641	149.31464093
12.00000000	8.88580416	158.13382446	224.26346572	150.02119959
13.00000000	16.01514745	165.39244603	275.01057512	164.45323226
14.00000000	15.12544912	200.53113821	236.01553666	195.59651853
