0	1
0.01	0.98931
0.02	0.97882
0.03	0.96872
0.04	0.95818
0.05	0.94798
0.06	0.93773
0.07	0.92749
0.08	0.91767
0.09	0.90832
0.1	0.89919
0.11	0.89003
0.12	0.88084
0.13	0.8718
0.14	0.86277
0.15	0.85426
0.16	0.84604
0.17	0.83811
0.18	0.83034
0.19	0.82239
0.2	0.81452
0.21	0.80687
0.22	0.79957
0.23	0.79208
0.24	0.78479
0.25	0.77748
0.26	0.77003
0.27	0.76285
0.28	0.75564
0.29	0.74864
0.3	0.74163
0.31	0.73472
0.32	0.72781
0.33	0.72117
0.34	0.71476
0.35	0.70862
0.36	0.70258
0.37	0.69701
0.38	0.69129
0.39	0.68532
0.4	0.67961
0.41	0.67404
0.42	0.66874
0.43	0.66379
0.44	0.65895
0.45	0.65444
0.46	0.64992
0.47	0.64547
0.48	0.64154
0.49	0.63748
0.5	0.63341
0.51	0.62946
0.52	0.62553
0.53	0.62109
0.54	0.61627
0.55	0.6114
0.56	0.60669
0.57	0.60188
0.58	0.59695
0.59	0.59198
0.6	0.58699
0.61	0.58214
0.62	0.57734
0.63	0.57261
0.64	0.56796
0.65	0.56363
0.66	0.55917
0.67	0.55509
0.68	0.55065
0.69	0.54616
0.7	0.54181
0.71	0.53728
0.72	0.53305
0.73	0.52884
0.74	0.52512
0.75	0.52144
0.76	0.51788
0.77	0.51428
0.78	0.51057
0.79	0.5069
0.8	0.50358
0.81	0.50029
0.82	0.49685
0.83	0.49357
0.84	0.49027
0.85	0.48677
0.86	0.48308
0.87	0.47917
0.88	0.47525
0.89	0.47141
0.9	0.46794
0.91	0.46414
0.92	0.46038
0.93	0.45618
0.94	0.45192
0.95	0.44762
0.96	0.44335
0.97	0.43963
0.98	0.43588
0.99	0.43244
1	0.42871
1.01	0.42517
1.02	0.42176
1.03	0.41839
1.04	0.41473
1.05	0.41112
1.06	0.40743
1.07	0.40367
1.08	0.40016
1.09	0.39684
1.1	0.39316
1.11	0.38924
1.12	0.38547
1.13	0.38202
1.14	0.37855
1.15	0.37489
1.16	0.37114
1.17	0.36801
1.18	0.36499
1.19	0.3622
1.2	0.35922
1.21	0.35631
1.22	0.35345
1.23	0.35068
1.24	0.34744
1.25	0.34464
1.26	0.34215
1.27	0.34
1.28	0.33756
1.29	0.33457
1.3	0.3315
1.31	0.3284
1.32	0.32492
1.33	0.32153
1.34	0.31858
1.35	0.31558
1.36	0.31265
1.37	0.30977
1.38	0.30649
1.39	0.30317
1.4	0.29992
1.41	0.29649
1.42	0.29301
1.43	0.2891
1.44	0.28581
1.45	0.28218
1.46	0.27879
1.47	0.27622
1.48	0.27355
1.49	0.27091
1.5	0.26845
1.51	0.26605
1.52	0.26363
1.53	0.26134
1.54	0.25876
1.55	0.25608
1.56	0.25396
1.57	0.25201
1.58	0.25026
1.59	0.24875
1.6	0.24707
1.61	0.2456
1.62	0.24413
1.63	0.24245
1.64	0.24092
1.65	0.23907
1.66	0.23737
1.67	0.23568
1.68	0.23405
1.69	0.23244
1.7	0.23086
1.71	0.22924
1.72	0.228
1.73	0.22648
1.74	0.22549
1.75	0.22455
1.76	0.22347
1.77	0.22249
1.78	0.22149
1.79	0.22042
1.8	0.21906
1.81	0.21747
1.82	0.21574
1.83	0.21406
