0	-0.58507	-0.58507
0.01	-0.58494	-0.58501
0.02	-0.58444	-0.58498
0.03	-0.5839	-0.58471
0.04	-0.583	-0.58393
0.05	-0.58184	-0.58317
0.06	-0.58048	-0.58233
0.07	-0.57899	-0.58152
0.08	-0.57727	-0.58083
0.09	-0.57568	-0.57999
0.1	-0.57391	-0.57922
0.11	-0.57217	-0.57824
0.12	-0.57058	-0.57717
0.13	-0.5689	-0.576
0.14	-0.56685	-0.57498
0.15	-0.56457	-0.57384
0.16	-0.56202	-0.57247
0.17	-0.55963	-0.57091
0.18	-0.557	-0.56909
0.19	-0.55422	-0.56745
0.2	-0.55135	-0.5654
0.21	-0.54827	-0.56368
0.22	-0.54526	-0.56217
0.23	-0.54248	-0.56047
0.24	-0.53953	-0.55891
0.25	-0.53641	-0.55721
0.26	-0.53332	-0.55559
0.27	-0.52986	-0.55416
0.28	-0.52624	-0.55274
0.29	-0.52251	-0.55093
0.3	-0.51889	-0.54921
0.31	-0.51534	-0.54744
0.32	-0.51153	-0.54593
0.33	-0.50766	-0.54453
0.34	-0.50373	-0.54324
0.35	-0.49976	-0.54192
0.36	-0.49556	-0.54088
0.37	-0.49136	-0.5397
0.38	-0.48692	-0.53835
0.39	-0.48274	-0.53699
0.4	-0.47855	-0.53571
0.41	-0.47468	-0.5345
0.42	-0.4708	-0.53334
0.43	-0.46719	-0.53184
0.44	-0.46347	-0.53047
0.45	-0.45971	-0.52883
0.46	-0.45615	-0.52727
0.47	-0.45226	-0.52543
0.48	-0.44833	-0.5235
0.49	-0.44425	-0.52174
0.5	-0.44018	-0.52006
0.51	-0.43635	-0.51795
0.52	-0.4322	-0.51582
0.53	-0.42784	-0.51347
0.54	-0.42342	-0.51134
0.55	-0.41929	-0.50935
0.56	-0.41529	-0.50708
0.57	-0.41132	-0.50475
0.58	-0.40706	-0.50236
0.59	-0.40267	-0.50033
0.6	-0.39842	-0.49834
0.61	-0.39414	-0.4962
0.62	-0.3899	-0.49399
0.63	-0.38538	-0.49161
0.64	-0.38081	-0.4894
0.65	-0.37622	-0.48737
0.66	-0.37167	-0.48523
0.67	-0.36727	-0.48303
0.68	-0.36274	-0.4808
0.69	-0.35825	-0.47834
0.7	-0.35376	-0.47558
0.71	-0.34946	-0.47304
0.72	-0.34526	-0.47017
0.73	-0.34118	-0.46707
0.74	-0.33699	-0.46387
0.75	-0.33301	-0.46049
0.76	-0.329	-0.45714
0.77	-0.32517	-0.45408
0.78	-0.32156	-0.45123
0.79	-0.31756	-0.44863
0.8	-0.31384	-0.44597
0.81	-0.30998	-0.44357
0.82	-0.30592	-0.44127
0.83	-0.30188	-0.43896
0.84	-0.29774	-0.43653
0.85	-0.2937	-0.43411
0.86	-0.28973	-0.4314
