0.1	1.5604	1.515	0.0018408
0.3	1.5912	1.5313	0.0019139
0.5	1.5637	1.534	0.0018816
0.7	1.5749	1.5431	0.0019748
0.9	1.5777	1.5531	0.0020075
1.1	1.5889	1.5731	0.0020323
1.3	1.5969	1.5869	0.0020379
1.5	1.6072	1.641	0.0021075
1.7	1.6172	1.6448	0.0021209
1.9	1.6565	1.6798	0.0021511
2.1	1.6579	1.7107	0.0021744
2.3	1.6895	1.7514	0.0022224
2.5	1.7343	1.8133	0.0022564
2.7	1.7542	1.8552	0.0022889
2.9	1.8128	1.9319	0.0023017
3.1	1.861	1.9965	0.0023379
3.3	1.9218	2.0734	0.002375
3.5	2.0138	2.2062	0.002365
3.7	2.1462	2.3501	0.0023406
3.9	2.3315	2.5657	0.0023343
4.1	2.5668	2.8339	0.0022767
4.3	2.8676	3.1798	0.0021999
4.5	3.1152	3.445	0.0021659
4.7	3.1575	3.4956	0.0021183
