0.10000000	320.78068976	170.80829822
0.11000000	320.76956389	170.82839385
0.12000000	320.75619035	170.84865968
0.13000000	320.74305439	170.86972930
0.14000000	320.73075881	170.88840858
0.15000000	320.71782123	170.90875441
0.16000000	320.70481846	170.92882579
0.17000000	320.69188853	170.94922239
0.18000000	320.67874545	170.96925283
0.19000000	320.66571066	170.98940892
0.20000000	320.65197841	171.01030571
0.21000000	320.63950886	171.03001378
0.22000000	320.62659256	171.05051522
0.23000000	320.61341002	171.07116996
0.24000000	320.59981328	171.09086508
0.25000000	320.58727402	171.11099952
0.26000000	320.57367697	171.13144295
0.27000000	320.56093458	171.15167921
0.28000000	320.54773027	171.17204086
0.29000000	320.53452781	171.19239875
0.30000000	320.52123153	171.21581128
0.31000000	320.50711760	171.23330679
0.32000000	320.49366739	171.25399281
0.33000000	320.48097276	171.27456817
0.34000000	320.46796120	171.29408184
0.35000000	320.45459304	171.31469315
0.36000000	320.44121539	171.33489024
0.37000000	320.42781814	171.35527687
0.38000000	320.41426306	171.37579748
0.39000000	320.40115839	171.39627500
0.40000000	320.38736760	171.41658207
0.41000000	320.37444584	171.43715006
0.42000000	320.36047044	171.45751976
0.43000000	320.34703343	171.47819037
0.44000000	320.33389612	171.49939860
0.45000000	320.32040628	171.51927092
0.46000000	320.30651931	171.53968391
0.47000000	320.29317561	171.56043678
0.48000000	320.27935582	171.58093039
0.49000000	320.26594888	171.60140270
0.50000000	320.25237003	171.62263391
0.51000000	320.23873444	171.64218703
0.52000000	320.22497937	171.66269709
0.53000000	320.21130273	171.68320572
0.54000000	320.19764400	171.70633284
0.55000000	320.18308261	171.72473304
0.56000000	320.16982768	171.74507346
0.57000000	320.15601555	171.76583071
0.58000000	320.14139451	171.78646783
0.59000000	320.12873714	171.80695257
0.60000000	320.11475212	171.82762464
0.61000000	320.10074376	171.84858322
0.62000000	320.08716967	171.86892085
0.63000000	320.07325427	171.88972751
0.64000000	320.05851790	171.91110638
0.65000000	320.04435909	171.93186423
0.66000000	320.03089725	171.95255081
0.67000000	320.01747516	171.97276871
0.68000000	320.00340792	171.99325577
0.69000000	319.98934806	172.01425629
0.70000000	319.97538772	172.03546928
0.71000000	319.96092779	172.05563024
0.72000000	319.94219526	172.07757017
0.73000000	319.93040520	172.10020572
0.74000000	319.91773724	172.12439289
0.75000000	319.90406202	172.15035383
0.76000000	319.88922572	172.17181542
0.77000000	319.87292506	172.18617841
0.78000000	319.85653737	172.20298982
0.79000000	319.84569043	172.22303896
0.80000000	319.83285437	172.24730145
0.81000000	319.81708348	172.27123822
0.82000000	319.79993753	172.28512403
0.83000000	319.79099284	172.30561028
0.84000000	319.77666554	172.32652804
0.85000000	319.76229585	172.34746828
0.86000000	319.74794666	172.36838789
0.87000000	319.73355262	172.38934415
0.88000000	319.71914223	172.41046085
0.89000000	319.70470729	172.43127762
0.90000000	319.69024294	172.45244325
0.91000000	319.67578763	172.47324848
0.92000000	319.66126287	172.49424134
0.93000000	319.64677349	172.51527747
0.94000000	319.63223859	172.53635980
0.95000000	319.61769165	172.55732644
0.96000000	319.60268162	172.57867078
0.97000000	319.58851725	172.59942319
0.98000000	319.57384641	172.62062743
0.99000000	319.55916705	172.64160993
1.00000000	319.54443910	172.66313599
1.01000000	319.52991732	172.68392042
1.02000000	319.51522063	172.70491587
1.03000000	319.49964657	172.72611789
1.04000000	319.48554648	172.74714194
1.05000000	319.47093760	172.76840793
1.06000000	319.45619570	172.78944088
1.07000000	319.44125884	172.81060953
1.08000000	319.42655967	172.83184834
1.09000000	319.41153444	172.85334671
1.10000000	319.39679563	172.87437446
1.11000000	319.38193853	172.89541832
1.12000000	319.36604659	172.91702619
1.13000000	319.35212379	172.93786119
1.14000000	319.33716356	172.95910899
1.15000000	319.32219881	172.98045029
1.16000000	319.30718319	173.00184019
1.17000000	319.29203450	173.02292024
1.18000000	319.27715499	173.04432185
1.19000000	319.26203127	173.06551796
1.20000000	319.24586825	173.08694970
1.21000000	319.23181787	173.10913980
1.22000000	319.21680235	173.12954224
1.23000000	319.20172278	173.15086167
1.24000000	319.18655409	173.17250607
1.25000000	319.17135024	173.19363663
1.26000000	319.15608951	173.21533778
1.27000000	319.14085633	173.23680784
1.28000000	319.12478714	173.25796842
1.29000000	319.11035937	173.27919725
1.30000000	319.09488970	173.30099022
1.31000000	319.07963307	173.32221442
1.32000000	319.06444758	173.34375590
1.33000000	319.04629384	173.37160272
1.34000000	319.03054547	173.39096530
1.35000000	319.00789685	173.40981244
1.36000000	319.00259097	173.43005490
1.37000000	318.98745354	173.45094944
1.38000000	318.97187653	173.47256250
1.39000000	318.95650454	173.49400577
1.40000000	318.94098526	173.51557879
1.41000000	318.92547580	173.53770349
