0.000000	1.717970	0.014438	1.708095
1.000000	1.708095	0.046096	1.689217
2.000000	1.689217	0.073525	1.670104
3.000000	1.670104	0.100786	1.651054
4.000000	1.651054	0.128093	1.632082
5.000000	1.632082	0.155448	1.613147
6.000000	1.613147	0.182824	1.594181
7.000000	1.594181	0.210175	1.575125
8.000000	1.575125	0.237466	1.555928
9.000000	1.555928	0.264659	1.536541
10.000000	1.536541	0.291718	1.516920
11.000000	1.516920	0.318614	1.497029
12.000000	1.497029	0.345315	1.476842
13.000000	1.476842	0.371799	1.456345
14.000000	1.456345	0.398050	1.435530
15.000000	1.435530	0.424055	1.414399
16.000000	1.414399	0.449810	1.392958
17.000000	1.392958	0.475312	1.371220
18.000000	1.371220	0.500567	1.349200
19.000000	1.349200	0.525579	1.326918
20.000000	1.326918	0.550360	1.304391
21.000000	1.304391	0.574921	1.281638
22.000000	1.281638	0.599274	1.258678
23.000000	1.258678	0.623433	1.235528
24.000000	1.235528	0.647411	1.212204
25.000000	1.212204	0.671220	1.188721
26.000000	1.188721	0.694872	1.165092
27.000000	1.165092	0.718378	1.141332
28.000000	1.141332	0.741749	1.117451
29.000000	1.117451	0.764998	1.093459
30.000000	1.093459	0.788130	1.069358
31.000000	1.069358	0.811146	1.045152
32.000000	1.045152	0.834056	1.020841
33.000000	1.020841	0.856846	0.996373
34.000000	0.996373	0.879458	0.971574
35.000000	0.971574	0.901693	0.945108
36.000000	0.945108	0.921748	0.910865
37.000000	0.910865	0.919270	0.884274
38.000000	0.884274	0.939552	0.855403
39.000000	0.855403	0.956166	0.825950
40.000000	0.825950	0.971274	0.000000
