0.1	0.566817	0.992082
0.3	0.502092	0.963334
0.5	0.472476	0.954111
0.7	0.449858	0.948507
0.9	0.410407	0.929111
1.1	0.383281	0.907297
1.3	0.354	0.910054
1.5	0.392838	0.960883
1.7	0.4619	1.05264
1.9	0.528343	1.14671
2.1	0.589849	1.23092
2.3	0.649087	1.31573
2.5	0.719615	1.40049
2.7	0.786165	1.48653
2.9	0.843996	1.58613
3.1	0.894007	1.67065
3.3	0.956809	1.74941
3.5	1.01742	1.82343
3.7	1.05144	1.89421
3.9	1.10378	1.98912
4.1	1.15068	2.05899
4.3	1.19823	2.11622
4.5	1.22473	2.19744
4.7	1.25914	2.28029
