0.000000	0.825950	0.971274	0.855085
1.000000	0.855085	0.955637	0.884965
2.000000	0.884965	0.939783	0.911104
3.000000	0.911104	0.918557	0.945732
4.000000	0.945732	0.922491	0.955418
5.000000	0.955418	0.888033	0.969825
6.000000	0.969825	0.855172	0.984115
7.000000	0.984115	0.822242	0.997951
8.000000	0.997951	0.789119	1.011361
9.000000	1.011361	0.755824	1.024436
10.000000	1.024436	0.722395	1.037287
11.000000	1.037287	0.688883	1.050027
12.000000	1.050027	0.655329	1.062768
13.000000	1.062768	0.621777	1.075616
14.000000	1.075616	0.588263	1.088671
15.000000	1.088671	0.554827	1.102027
16.000000	1.102027	0.521506	1.115776
17.000000	1.115776	0.488341	1.130007
18.000000	1.130007	0.455376	1.144814
19.000000	1.144814	0.422660	1.160292
20.000000	1.160292	0.390251	1.176548
21.000000	1.176548	0.358222	1.193701
22.000000	1.193701	0.326660	1.211878
23.000000	1.211878	0.295674	1.231221
24.000000	1.231221	0.265399	1.251877
25.000000	1.251877	0.236002	1.273982
26.000000	1.273982	0.207678	1.297654
27.000000	1.297654	0.180650	1.322972
28.000000	1.322972	0.155157	1.349958
29.000000	1.349958	0.131436	1.378567
30.000000	1.378567	0.109703	1.408690
31.000000	1.408690	0.090120	1.440161
32.000000	1.440161	0.072788	1.472782
33.000000	1.472782	0.057732	1.506345
34.000000	1.506345	0.044915	1.540653
35.000000	1.540653	0.034252	1.575530
36.000000	1.575530	0.025638	1.610829
37.000000	1.610829	0.018973	1.646437
38.000000	1.646437	0.014226	1.682253
39.000000	1.682253	0.011564	1.717970
40.000000	1.717970	0.014438	0.000000
